company_name,industry,company_size,annual_revenue,num_employees,lead_source,past_interactions,converted,created_at
Powers-Briggs,technology,870,787946414,991,email,2,1,2025-01-29 09:33:28.977992
Simmons and Sons,retail,1695,242385876,2172,cold_call,1,1,2025-01-27 20:59:45.958407
"Rasmussen, Ramirez and Brown",logistics,4565,479646681,4632,cold_call,0,1,2024-07-02 07:12:21.664304
"Stout, Guerra and Mathis",technology,9177,999845294,8935,trade_show,4,1,2024-09-28 14:44:51.624312
Nelson-Thomas,manufacturing,8802,926232539,9136,referral,1,1,2024-10-14 04:28:03.332881
Oneill-Williams,finance,785,147797582,631,web,2,1,2024-10-18 17:06:26.857586
"Sanders, Jackson and Mendoza",manufacturing,3853,794043861,2769,referral,5,1,2025-02-23 05:26:02.527691
Mathis-Nguyen,finance,4897,458602041,6264,cold_call,1,1,2025-03-06 01:29:59.531305
Garza-Hubbard,logistics,8016,744853672,9325,cold_call,1,1,2024-06-03 16:48:12.256978
Price-Chapman,retail,5902,757306505,5400,web,3,1,2025-03-11 10:16:02.698049
Griffin Ltd,finance,2741,590904839,2370,trade_show,1,1,2025-03-03 04:37:41.007880
Stewart-Brooks,retail,4498,904890222,4302,referral,1,1,2024-12-20 07:34:18.646052
Kelly-Rodriguez,logistics,8765,271866524,8810,email,1,1,2024-12-11 08:51:41.598705
Walker and Sons,retail,3167,560455099,3983,email,1,1,2024-07-12 13:07:22.468879
Webb and Sons,technology,3637,715254771,4493,trade_show,1,1,2025-03-04 17:03:44.698779
Thomas LLC,retail,6786,292221203,6185,trade_show,0,1,2025-02-10 21:13:45.949335
Weber Ltd,logistics,4423,954045764,4933,referral,2,1,2024-11-25 19:14:57.557775
Love-Diaz,logistics,6595,912554195,5593,referral,1,1,2024-08-09 09:15:32.709671
"Frazier, Garrett and Taylor",retail,4747,691748731,3469,email,3,1,2025-02-11 02:52:05.946093
Simmons-Bailey,retail,4228,980281758,4997,email,3,1,2024-05-26 11:17:59.225194
Ramos PLC,technology,4292,801190885,4796,trade_show,2,1,2024-09-27 23:54:51.815735
Johnson and Sons,technology,8690,820171328,8155,referral,3,1,2024-05-14 19:26:37.218216
Kelly-Santos,manufacturing,272,687226267,218,web,1,1,2024-03-29 17:24:00.808000
Lee-Raymond,logistics,3180,860630322,3611,trade_show,6,1,2024-12-19 17:44:17.495434
Garcia LLC,logistics,108,960728888,75,referral,3,1,2024-12-26 22:00:59.240750
"Cruz, Werner and Alvarez",retail,4506,249469215,4690,cold_call,2,1,2025-01-07 10:16:58.426707
"Harris, Hall and Robinson",finance,8764,610185301,10899,trade_show,3,1,2024-10-02 01:14:59.409288
Dodson-King,retail,7689,760784560,9970,email,4,1,2024-10-14 00:48:23.718692
Scott-Pham,retail,709,442522240,528,email,2,1,2025-02-02 01:43:55.120492
"Cox, Thompson and Clark",manufacturing,5452,301010439,4046,referral,2,1,2024-10-16 13:39:33.972426
Wall PLC,manufacturing,794,423883527,887,trade_show,2,1,2025-02-27 07:33:56.190103
Washington Inc,technology,5635,22368806,5640,email,1,1,2024-06-12 22:46:34.436488
Sullivan Ltd,technology,6012,378036342,4308,referral,0,1,2024-06-10 01:34:22.107640
Haley and Sons,finance,6303,390225881,7665,web,0,1,2025-02-16 01:30:19.646600
Garza Ltd,retail,2501,329314564,2534,email,2,1,2024-09-27 15:50:34.867084
